text,label
"Your account XXXX1234 credited with ₹5000. UPI transfer received.","income"
"Salary for this month credited. Check your bank balance.","income"
"You have received ₹1200 from Google Pay.","income"
"₹750 cashback credited to your wallet.","income"
"Government subsidy of ₹2000 credited.","income"
"Refund of ₹899 processed to your bank.","income"
"Cash deposit of ₹3000 done at branch.","income"
"Interest credit of ₹120 added to your account.","income"
"Bonus amount credited to your salary account.","income"
"You received ₹450 from PhonePe.","income"
"UPI: ₹350 received from Rahul.","income"
"Wallet top-up of ₹500 successful.","income"
"Bill refund of ₹299 successful.","income"
"Dividend of ₹50 has been credited.","income"
"You have won ₹100 cashback!","income"
"Reward points converted to ₹200.","income"
"Amount of ₹600 received via NEFT.","income"
"₹1400 settlement received.","income"
"Reimbursement of ₹900 processed.","income"
"Credit alert: ₹100 added.","income"
"UPI settlement ₹340 received.","income"
"You got ₹780 from Flipkart Pay Later refund.","income"
"₹250 Amazon Pay refund processed.","income"
"Cashback of ₹50 added to wallet.","income"
"₹670 payment received.","income"
"Payment from client ₹900 received.","income"
"Bank credit ₹300 processed.","income"
"UPI AutoPay refund ₹450.","income"
"Recharge refund ₹199 processed.","income"
"₹550 received via IMPS.","income"
"Transfer from SBI: ₹1100.","income"
"Reward credit of ₹70 successful.","income"
"NEFT credit ₹2200.","income"
"You earned ₹400 via referral bonus.","income"
"Toll refund ₹150 processed.","income"
"UPI incoming: ₹430.","income"
"₹320 refunded to card.","income"
"₹900 returned from failed transaction.","income"
"Cash return ₹200 received.","income"
"You received ₹115 via cashback.","income"
"₹475 credited to Paytm.","income"
"UPI: ₹380 received.","income"
"Bank refund ₹90 added.","income"
"₹210 received through fund transfer.","income"
"₹600 bonus referral processed.","income"
"Reward of ₹130 credited.","income"
"₹1260 salary incentive credited.","income"
"NEFT: ₹1700 received.","income"
"Wallet credit ₹340 added.","income"
"Refund ₹560 credited.","income"

"Your electricity bill of ₹1340 is due.","bill"
"Water bill pending of ₹300.","bill"
"Mobile recharge reminder: ₹249.","bill"
"Gas bill of ₹900 generated.","bill"
"DTH bill due tomorrow.","bill"
"Postpaid bill of ₹450 pending.","bill"
"Your broadband bill ₹799 is due.","bill"
"Pay your electricity bill today.","bill"
"Your bill of ₹600 generated.","bill"
"Water tax due: ₹200.","bill"
"Gas cylinder booking charges ₹820.","bill"
"Landline bill overdue.","bill"
"House tax payment pending.","bill"
"Your LPG bill is ready.","bill"
"Mobile bill alert: ₹1200.","bill"
"Fastag recharge required.","bill"
"Electricity bill payment reminder.","bill"
"Gas subsidy reduction applied.","bill"
"Water usage bill updated.","bill"
"DTH service renewal ₹450.","bill"
"Broadband bill auto-debit tomorrow.","bill"
"Property tax bill available.","bill"
"Your gas bill due soon.","bill"
"Recharge pack of ₹399 expires soon.","bill"
"Pay your water bill before due date.","bill"
"Your bill of ₹1450 pending.","bill"
"Mobile data addon bill ₹98.","bill"
"Annual tax payment reminder.","bill"
"Electricity usage update available.","bill"
"Broadband renewal pending.","bill"
"Gas agency bill alert.","bill"
"Phone postpaid bill generated.","bill"
"Your house tax is overdue.","bill"
"DTH plan expiry notice.","bill"
"Water board bill generated.","bill"
"LPG refill booking ₹900.","bill"
"Mobile bill exceeds limit.","bill"
"Broadband speed upgrade charge applied.","bill"
"Pay apartment maintenance ₹1500.","bill"
"Electricity meter reading updated.","bill"
"WiFi bill of ₹699 due.","bill"
"Gas payment successful.","bill"
"Your bill is ready for payment.","bill"
"Water bill generation successful.","bill"
"Pay your DTH bill.","bill"
"Mobile bill generated.","bill"
"Recharge reminder.","bill"
"Property bill due.","bill"
"Electricity bill ₹1600 generated.","bill"
"DTH renewal required.","bill"

"₹350 debited for UPI transaction.","expense"
"Payment of ₹450 made at Amazon.","expense"
"₹120 auto-debit for OTT subscription.","expense"
"Paid ₹90 for mobile recharge.","expense"
"₹150 spent on food.","expense"
"Debit alert: ₹300 at supermarket.","expense"
"₹200 withdrawn from ATM.","expense"
"₹820 debited for gas recharge.","expense"
"₹199 payment successful.","expense"
"₹400 online purchase completed.","expense"
"₹1200 EMI debited.","expense"
"₹450 auto-debit for insurance.","expense"
"₹220 petrol purchase done.","expense"
"Paid ₹600 for electricity bill.","expense"
"₹100 donation processed.","expense"
"₹250 spent on snacks.","expense"
"₹350 order placed online.","expense"
"Debit card used for ₹780.","expense"
"₹90 wallet payment successful.","expense"
"₹500 debit via POS.","expense"
"₹160 train ticket purchased.","expense"
"₹70 payment for tea.","expense"
"₹340 UPI payment done.","expense"
"₹499 debited at Myntra.","expense"
"₹600 debit at restaurant.","expense"
"₹80 spent on parking.","expense"
"₹125 debited for coffee.","expense"
"₹240 metro ticket purchased.","expense"
"₹310 spent online.","expense"
"UPI: ₹200 sent.","expense"
"₹980 bus pass renewal.","expense"
"₹450 wallet debit.","expense"
"₹175 grocery purchase.","expense"
"₹290 toll deducted.","expense"
"₹150 laundry bill paid.","expense"
"₹50 payment successful.","expense"
"₹780 e-commerce payment.","expense"
"₹900 card swipe at store.","expense"
"₹500 online transfer done.","expense"
"₹640 EMI auto-debit.","expense"
"₹200 FASTag deduction.","expense"
"₹350 movie ticket purchased.","expense"
"₹100 club entry payment.","expense"
"₹450 mobile recharge done.","expense"
"₹240 hostel mess payment.","expense"
"₹60 debit for snacks.","expense"
"₹990 hotel booking amount.","expense"
"₹320 petrol pump transaction.","expense"
"₹700 utility bill paid.","expense"

"Thank you for shopping, your order will arrive soon.","spam"
"You won a lucky draw! Claim now.","spam"
"Congratulations! You get a free gift.","spam"
"Click this link to win ₹5000.","spam"
"Free recharge offer available.","spam"
"Your loan is pre-approved.","spam"
"Low-interest loan available.","spam"
"You are selected for free vacation.","spam"
"Get rich quick scheme!","spam"
"Weight loss pills available.","spam"
"Congratulations! You won prize.","spam"
"Claim free rewards now.","spam"
"Win exciting vouchers!","spam"
"You are chosen for special offer.","spam"
"Apply for credit card instantly.","spam"
"Earn money from home.","spam"
"Lottery prize waiting for you.","spam"
"Cheap insurance available.","spam"
"Get discount coupons now.","spam"
"Click to claim cashback.","spam"
"Exclusive offers for you.","spam"
"Low-cost EMI loan available.","spam"
"Special discount available today.","spam"
"Unlock free subscription.","spam"
"Download app for free prize.","spam"
"Win ₹1000 via lucky draw.","spam"
"Claim your smartphone now.","spam"
"Special festival offer!","spam"
"Extra cashback for you.","spam"
"Win a brand new bike.","spam"
"You have been selected for cashback.","spam"
"Redeem your offer today.","spam"
"Special promotion for you.","spam"
"Get free WiFi connection.","spam"
"Insane discount deals.","spam"
"Loan approval guaranteed.","spam"
"Click now for extra discount.","spam"
"Free shopping voucher on signup.","spam"
"Grab the offer now.","spam"
"Exclusive membership free.","spam"
"Limited time offer.","spam"
"Congratulations! You have been chosen.","spam"
"Click here to get coupons.","spam"
"Congratulations! Free rewards.","spam"
"Earn extra cashback now.","spam"
"Special price only for you.","spam"
"Get free recharge coupon.","spam"
"Claim instant reward.","spam"
"Limited-time deal.","spam"
